"","id","name"
"1119","b2835","lplT"
"1120","b2552","hmp"
"1121","b1528","ydeA"
"1122","b3029","ygiN"
"1123","b2303","folX"
"1124","b0756","galM"
"1125","b2889","idi"
"1126","b3028","mdaB"
"1127","b3821","pldA"
"1128","b3432","glgB"
"1129","b0484","copA"
"1130","b2146","preT"
"1131","b2147","preA"
"1132","b3469","zntA"
"1133","b3503","arsC"
"1134","b4478","dgoD"
"1135","b3626","waaR"
"1136","b1380","ldhA"
"1137","b3623","waaU"
"1138","b2257","arnT"
"1139","b4321","gntP"
"1140","b3792","wzxE"
"1141","b2965","speC"
"1142","b2711","norW"
"1143","b0693","speF"
"1144","b2710","norV"
"1145","b2033","wbbJ"
