GeneName	 Accession-1	 Left-End-Position	 Right-End-Position	Product	Map to Escherichia coli CFT073
G6556	b1059	1119468	1120586	SARCOX-MONOMER	C1326
EG11628	b0860	899844	900575	ARTJ-MONOMER	C0993
G0-10473	b4566	4533796	4534053	MONOMER0-2695	
EG30065	b2967	3110366	3110441	pheV-tRNA	
EG10639	b1225	1283604	1285142	NARH-MONOMER	C1686
G7876	b4222	4447894	4448235	G7876-MONOMER	C5320
G6539	b1033	1097886	1098824	G6539-MONOMER	C1295
EG10564	b1622	1700957	1702129	EG10564-MONOMER	C2014
G7128	b2095	2175059	2176321	G7128-MONOMER	C2620
EG30048	b4370	4606315	4606401	leuQ-tRNA	
G7734	b3382	3511060	3511422	G7734-MONOMER	C4152
G6456	b0872	911182	912150	G6456-MONOMER	C1005
EG10063	b2818	2949242	2950573	N-ACETYLTRANSFER-MONOMER	C3412
EG11835	b3866	4051347	4051856	EG11835-MONOMER	C4815
EG30032	b3969	4168372	4168447	gltT-tRNA	
EG10332	b4152	4379377	4379772	FUM-MEMB1	C5240
G7613	b3099	3249683	3250087	G7613-MONOMER	C3857
G6437	b0837	878742	879857	G6437-MONOMER	C0922
EG10170	b3806	3991153	3993699	ADENYLATECYC-MONOMER	C4725
G6708	b1387	1451597	1453642	G6708-MONOMER	
EG30014	b0536	564723	564799	argU-tRNA	
G7495	b2876	3014287	3015057	G7495-MONOMER	C3454
G6428	b0825	863642	864304	G6428-MONOMER	C0910
EG11624	b0864	903006	903734	ARTP-MONOMER	C0997
G6301	b0545	570893	571444	G6301-MONOMER	C2350
EG30104	b0244	262871	262946	thrW-tRNA	
