"cysB","cysC"
"cysB","cysD"
"cysB","cysH"
"cysB","cysI"
"cysB","cysJ"
"cysB","cysK"
"cysB","cysM"
"cysB","cysN"
"cysB","cysP"
"cysB","cysU"
"cysB","cysW"
"cysB","hslJ"
"cysB","ssuA"
"cysB","ssuB"
"cysB","ssuC"
"cysB","ssuD"
"cysB","ssuE"
"cysB","tauA"
"cysB","tauB"
"cysB","tauC"
"cysB","tauD"
"cytR","cdd"
"cytR","deoA"
"cytR","deoB"
"cytR","deoC"
"cytR","deoD"
"cytR","nupC"
"cytR","nupG"
"cytR","ppiA"
"cytR","rpoH"
"cytR","tsx"
"cytR","udp"
"dcuR","dctA"
"dcuR","dcuB"
"dcuR","dpiA"
"dcuR","dpiB"
"dcuR","frdA"
"dcuR","frdB"
"dcuR","frdC"
"dcuR","frdD"
"dcuR","fumB"
"deoR","deoA"
"deoR","deoB"
"deoR","deoC"
"deoR","deoD"
"deoR","nupG"
"deoR","tsx"
"dhaR","dhaK"
"dhaR","dhaL"
"dhaR","dhaM"
"dicA","dicB"
"dicA","intQ"
"dicA","ydfD"
"dicA","ydfE"
"dinJ","cspE"
"dinJ","yafQ"
"dnaA","aldA"
"dnaA","dnaN"
"dnaA","guaA"
"dnaA","guaB"
"dnaA","nrdA"
"dnaA","nrdB"
"dnaA","polA"
"dnaA","recF"
"dnaA","rpoH"
"dnaA","yfaE"
"dpiA","appY"
"dpiA","citC"
"dpiA","citD"
"dpiA","citE"
"dpiA","citF"
"dpiA","citG"
"dpiA","citX"
"dpiA","dpiB"
"dpiA","exuT"
"dpiA","mdh"
"dsdX","dsdA"
"ebgR","ebgA"
"ebgR","ebgC"
"envR","acrA"
"envR","acrB"
"envY","ompC"
"envY","ompF"
"evgA","acrD"
"evgA","emrK"
"evgA","emrY"
"evgA","evgS"
"evgA","frc"
"evgA","gadE"
"evgA","mdtE"
"evgA","mdtF"
"evgA","safA"
"evgA","ydeO"
"evgA","ydeP"
"evgA","yegR"
"evgA","yegZ"
"evgA","yfdX"
"exuR","exuT"
"exuR","uxaA"
